#Key|Text
NO_ENEMY_MSG|Здесь некого атаковать.
DEATH_MSG|ВАШЕ ЗДОРОВЬЕ УПАЛО ДО 0. ВЫ ПОГИБЛИ
VICTORY_MSG|ПОЗДРАВЛЯЕМ! ВЫ СБЕЖАЛИ СО СТАНЦИИ И ВЫИГРАЛИ ИГРУ
DEFEND_MSG|Вы принимаете защитную стойку и готовитесь к удару
CHARGE_MSG|Вы заряжаете ваше оружие
ENV_NO_USE|Здесь нечего использовать в бою
NO_ENV_MSG|В комнате нечего использовать
NO_ROOM_ITEM|Здесь нечего брать
USE_CABINET_MSG|Вы обрушиваете тяжелый шкаф на врага
USE_VENT_MSG|Вы прячетесь в узкой вентиляционной шахте! Враг не может до вас достать
USE_STEAM_MSG|Вы срываете вентиль и выпускаете струю раскаленного пара
USE_CABLE_MSG|Вы бросаете оголенный кабель в врага

#СОСТОЯНИЯ И ИНВЕНТАРЬ
HP_RESTORED_TO|. Здоровье восстановлено до 
WEAPON_EQUIPPED|Вы экипировали 
HP_NOW|Ваше здоровье: 
DAMAGE_NOW|. Ваш урон теперь 
KEYCARD_WRONG_ROOM|Здесь некуда применять ключ-карту. Нужно найти шлюз.
ITEM_PICKED_UP|Вы подобрали: 
INV_HEADER|Ваш инвентарь:
INV_EMPTY|  Пусто
USE_INVALID_INPUT|Неверный формат. Нужно ввести номер предмета (например, use 1).
USE_KEYCARD|ВЫ ВСТАВИЛИ КЛЮЧ-КАРТУ. ШЛЮЗ АКТИВИРОВАН
ITEM_NOT_FOUND|Предмета с таким номером нет в инвентаре

#СИСТЕМНЫЕ СООБЩЕНИЯ И СТАРТ
SYS_INIT|Инициализация системы... Загрузка данных.
SYS_WELCOME|Система загружена. Добро пожаловать на станцию 'Эгида-7'.
SYS_HELP_HINT|Введите 'help' для списка команд.
SYS_LORE_THREAT|БИОМЕХАНИЧЕСКАЯ УГРОЗА ОБНАРУЖЕНА
SYS_LORE_EVAC|ЗАПУЩЕН ПРОТОКОЛ ЭВАКУАЦИИ
SYS_LORE_LEAVE|ВЫ ДОЛЖНЫ ПОКИНУТЬ СТАНЦИЮ НЕМЕДЛЕННО
SYS_QUIT|Завершение сеанса...
CMD_UNKNOWN|Неизвестная команда. Введите 'help'.

#СТАТИСТИКА
STATS_HEADER|=== ВАШИ ХАРАКТЕРИСТИКИ ===
STATS_NAME|Имя: 
STATS_HP|Здоровье (HP): 
STATS_DMG|Урон: 

#ОПИСАНИЕ КОМНАТ (LOOK)
ROOM_ENEMY_WARNING|[ВНИМАНИЕ] Здесь находится враг: 
ROOM_ITEM_WARNING|[ПРЕДМЕТ] Вы видите: 
ROOM_EXITS_HEADER|Выходы: 
DIR_NORTH|Север 
DIR_SOUTH|Юг 
DIR_EAST|Восток 
DIR_WEST|Запад 
DIR_NULL|Нет 

#ПЕРЕМЕЩЕНИЕ (GO)
MOVE_BLOCKED_PREFIX|Вы не можете уйти! 
MOVE_BLOCKED_SUFFIX| преграждает путь.
MOVE_SUCCESS|Вы перемещаетесь...
MOVE_INVALID_DIR|Туда идти нельзя.

#БОЁВКА
ATTACK_PREFIX|Вы атакуете и наносите 
ATTACK_SUFFIX| урона.
CHARGED_ATTACK_PREFIX|ЗАРЯЖЕННЫЙ УДАР! Вы наносите 
CHARGED_ATTACK_SUFFIX| КРИТИЧЕСКОГО урона и оглушаете врага
DEFEATED| повержен!
ENEMY_STUNNED| оглушен и пропускает ход
ENENY_ATTACK| атакует и наносит 
DEFEND_PREFIX|Вы блокируете урон! Получено: 
DEFEND_HEALING|Передышка позволяет вам восстановить 
